EXCH,Scrip,Call/Put,Exp Date,STK,BF Qty,Buy Qty,Buy Avg,Sale Qty,Sale Avg,Net Qty,MTM,Avg Rate,LTP,Today Net,Today Avg
FO,GMRAIRPORT,CE,27-02-2025,71.0,-5625,0,0.0,0,0.0,-5625,-843.75,1.4,1.55,0,0.0
FO,GMRAIRPORT,PE,27-02-2025,71.0,5625,0,0.0,0,0.0,5625,-2250.0,2.05,1.65,0,0.0
FO,GMRAIRPORT,CE,27-02-2025,75.0,-230625,0,0.0,0,0.0,-230625,0.0,0.4,0.4,0,0.0
FO,GMRAIRPORT,PE,27-02-2025,75.0,230625,0,0.0,0,0.0,230625,-126843.75,5.15,4.6,0,0.0
FO,HAL,CE,27-02-2025,3500.0,0,0,0.0,-150,39.1,-150,1485.0,39.1,29.2,-150,39.1
FO,HAL,PE,27-02-2025,3500.0,0,150,182.35,0,0.0,150,2347.5,182.35,198.0,150,182.35
FO,HAL,CE,27-02-2025,3700.0,-1050,0,0.0,0,0.0,-1050,13125.0,21.1,8.6,0,0.0
FO,HAL,PE,27-02-2025,3700.0,1050,0,0.0,0,0.0,1050,114765.0,258.45,367.75,0,0.0
FO,HAL,CE,27-02-2025,3900.0,-150,0,0.0,0,0.0,-150,517.5,7.15,3.7,0,0.0
FO,HAL,PE,27-02-2025,3900.0,150,0,0.0,0,0.0,150,16560.0,439.6,550.0,0,0.0
FO,HAL,CE,27-02-2025,3600.0,0,0,0.0,-150,20.9,-150,847.5,20.9,15.25,-150,20.9
FO,HAL,PE,27-02-2025,3600.0,0,150,263.5,0,0.0,150,2557.5,263.5,280.55,150,263.5
FO,HAL,CE,27-02-2025,3800.0,-450,0,0.0,0,0.0,-450,2902.5,12.1,5.65,0,0.0
FO,HAL,PE,27-02-2025,3800.0,450,0,0.0,0,0.0,450,49230.0,351.3,460.7,0,0.0
FO,HAL,FF,27-02-2025,0.0,1650,300,3355.03,0,0.0,1950,-220410.0,3442.03,3329.0,300,3355.03
FO,HFCL,FF,27-02-2025,0.0,58100,0,0.0,0,0.0,58100,-223685.0,87.35,83.5,0,0.0
FO,HFCL,CE,27-02-2025,95.0,-4150,0,0.0,0,0.0,-4150,1037.5,0.55,0.3,0,0.0
